bleu,bleu,bleu,,
1,1,1,TRUE,TRUE
0.995836207,0.995836207,0.995836207,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,0.333065321,0.333065321,TRUE,FALSE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
0.996666657,0.99416629,0.99416629,TRUE,FALSE
0.966200457,0.981935169,0.981935169,TRUE,FALSE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
0.745767678,0.745767678,0.745767678,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
0.975099827,0.975099827,0.975099827,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
0,1,1,TRUE,FALSE
0.975659128,0.975659128,0.975659128,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
0.99167808,0.99167808,0.99167808,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
1,1,1,TRUE,TRUE
0.984293519,0.984293519,0.984293519,TRUE,TRUE
1,1,1,TRUE,TRUE
,,,,
0.965780039,0.97443753,0.97443753,,
